"AUG'24","","","","","","","","","","","","",""
"","","","","TACTICAL PGM MNTHLY","","","AMPLIFY PGM QTR","","","","","",""
"CAT","Model","Part Code","NDP","0.6% ON ACH 100% Month Target","0.6% ON ACH 100% Linearity Target","RD CPC PGM (AIO-0.3%, TWR-2.8%)","PS - Power CDR - Accelerator (0.50%)","PS - Strategic Initiative - Gaming (0.50%)","PS - Base - Power CDR (0.25%)","46277941-AIO SO support for Aug'24 - 1 Data Source CDB POS only (1 - 10 Aug 2024 SO)","46297092-AIO Channel SO support for Aug'24 - 2 Data Source CDB POS only (11 - 18 Aug 2024 SO)","46315344-AIO SO support for Aug'24 - 4 Data Source CDB POS Only (19 - 31 Aug 2024 SO)",""
"AIO","HP AIO  24-df1670in PC","50J00PA","  46,987 ","  281.92 ","  281.92 ","  140.96 ","  234.94 ","  234.94 ","  117.47 ","0","0","0",""
"AIO","HP AIO  27-cb1456in PC","686V0PA","  53,842 ","  323.05 ","  323.05 ","  161.53 ","  269.21 ","  269.21 ","  134.61 ","0","0","0",""
"AIO","HP AIO  24-cb1902in PC","67U65PA","  54,623 ","  327.74 ","  327.74 ","  163.87 ","  273.12 ","  273.12 ","  136.56 ","0","0","0",""
"AIO","HP All-in-One 24-ck0678in PC","667G9PA","  48,900 ","  293.40 ","  293.40 ","  146.70 ","  244.50 ","  244.50 ","  122.25 ","0","0","0",""
"AIO","HP AIO 24-cb1901in PC","67W19PA","  45,955 ","  275.73 ","  275.73 ","  137.87 ","  229.78 ","  229.78 ","  114.89 ","  5,932 ","  5,932 ","  5,508 ",""
"AIO","HP AIO  22-dd0401in PC","6F9J4PA","  31,464 ","  188.78 ","  188.78 ","  94.39 ","  157.32 ","  157.32 ","  78.66 ","0","0","0",""
"AIO","HP AIO  22-dd2342in PC","690X1PA","  26,531 ","  159.19 ","  159.19 ","  79.59 ","  132.66 ","  132.66 ","  66.33 ","0","0","0",""
"AIO","HP All-in-One 24-df1678in PC","688C1PA","  39,999 ","  239.99 ","  239.99 ","  120.00 ","  200.00 ","  200.00 ","  100.00 ","0","0","0",""
"AIO","HP Pav 27-ca1234in AiO PC","6V307PA","  61,645 ","  369.87 ","  369.87 ","  184.94 ","  308.23 ","  308.23 ","  154.11 ","0","0","0",""
